Time,Input,Output
0.0,0j,(1.0785e-42-9.30535e-43j)
5e-09,0j,(4.00167e-44+4.80805e-45j)
1e-08,0j,(5.73102e-46+1.23143e-45j)
1.5000000000000002e-08,0j,(-2.47356e-47+3.89672e-47j)
2e-08,0j,(-1.56497e-48+2.91821e-51j)
2.5e-08,0j,(-2.85969e-50-4.47141e-50j)
3.0000000000000004e-08,0j,(7.57919e-52-1.63268e-51j)
3.5e-08,0j,(6.05087e-53-8.06824e-54j)
4e-08,0j,(1.33324e-54+1.58374e-54j)
4.5e-08,(0.00011409135754394122+0j),(-0.000804112+0.000470578j)
5e-08,(0.00011409135754394125-0.00011409135754394125j),(-0.000358964+0.00126701j)
5.5e-08,(6.986080791328192e-21-0.00011409135754394122j),(0.000437237+0.000821001j)
6.000000000000001e-08,(-0.00011409135754394122+1.3972161582656384e-20j),(0.00079536-0.0004458j)
6.5e-08,(-0.00011409135754394122+0.00011409135754394125j),(0.000358101-0.00126682j)
7e-08,(-0.00011409135754394122+0.0002281836040600721j),(-0.000103727-0.00209572j)
7.5e-08,(6.986080791328192e-21+0.00011409135754394122j),(-0.000428716-0.000846642j)
8e-08,(-0.00011409135754394122+1.3972161582656384e-20j),(0.000813749-0.000495568j)
8.500000000000001e-08,(-0.0003422742948748709+0.00011409135754394122j),(0.00196808-0.00220834j)
9e-08,(-0.00045636498568967025+0.00034227429487487126j),(0.00188893-0.00429616j)
9.5e-08,(-0.0004563649856896692+0.0004563649856896693j),(0.00146043-0.00514195j)
1e-07,(-0.0004563649856896692+0.0004563649856896693j),(0.00147005-0.00516692j)
1.05e-07,(-0.00022818360406007222+0.0004563649856896703j),(-0.000137285-0.00422594j)
1.1e-07,(0.000228183604060072+0.0006845485897497422j),(-0.00434574-0.00396719j)
1.15e-07,(0.0007986392805645401+0.0007986392805645401j),(-0.0089237-0.00250171j)
1.2000000000000002e-07,(0.0010268228846246122+0.0003422742948748708j),(-0.00876826+0.00158812j)
1.25e-07,(0.00011409135754394107-0.0006845485897497414j),(0.0018181+0.00514228j)
1.3e-07,(-0.001369097179499482-0.0013690971794994822j),(0.0152256+0.00413885j)
